G*** LOGO esd -27.000000 -9.500000 180.000000 b
G*** LOGO esd -13.500000 -89.250000 180.000000 b
C1 100n *C0603 -43.250000 -2.250000 180.000000 t
C2 100n *C0603 -27.250000 -71.500000 180.000000 t
C3 150n *C1808 -25.500000 -95.250000 90.000000 t
C4 10u *C0805 -5.000000 -74.750000 90.000000 t
C5 18p *C0603 -27.250000 -73.000000 0.000000 t
C6 18p *C0603 -36.000000 -73.750000 90.000000 t
C7 100n *C0603 -27.250000 -70.250000 180.000000 t
C8 2.2u *C0603 -81.750000 -40.750000 90.000000 t
C9 100n *C0603 -15.250000 -63.750000 180.000000 t
C10 100n *C0603 -29.000000 -78.000000 270.000000 t
C11 18p *C0603 -13.000000 -77.750000 0.000000 t
C12 100n *C0603 -29.250000 -40.000000 90.000000 t
C13 100n *C0603 -29.250000 -23.500000 90.000000 t
C14 10u *C0805 -30.000000 -68.000000 90.000000 t
C15 100n *C0603 -4.250000 -79.000000 270.000000 t
C16 100n *C0603 -41.000000 -21.500000 0.000000 t
C17 100n *C0603 -5.250000 -3.750000 270.000000 t
C18 2.2u *C0603 -77.500000 -40.750000 90.000000 t
C19 100n *C0603 -34.500000 -58.500000 270.000000 t
C20 18p *C0603 -22.500000 -81.500000 270.000000 t
C23 18p *C0603 -23.750000 -81.500000 270.000000 t
C24 18p *C0603 -32.750000 -36.500000 90.000000 t
C25 18p *C0603 -32.750000 -20.000000 90.000000 t
C26 18p *C0603 -34.500000 -46.250000 180.000000 t
C27 18p *C0603 -34.500000 -29.750000 180.000000 t
C28 150n *C1808 -48.000000 -86.250000 90.000000 t
C29 100n *C0603 -65.500000 -32.750000 0.000000 t
C30 100n *C0603 -23.500000 -58.250000 90.000000 t
C31 18p *C0603 -70.250000 -27.250000 0.000000 t
C32 18p *C0603 -67.500000 -30.500000 90.000000 t
C33 18p *C0603 -21.250000 -81.500000 270.000000 t
C34 150n *C1808 -51.000000 -86.250000 90.000000 t
C35 10u *C0805 -6.750000 -74.750000 90.000000 t
C36 100n *C0603 -36.250000 -20.000000 270.000000 t
C37 100n *C0603 -36.250000 -36.500000 270.000000 t
C38 150n *C1808 -57.000000 -86.250000 90.000000 t
C39 18p *C0603 -13.000000 -79.000000 0.000000 t
C40 100n *C0603 -77.250000 -91.000000 0.000000 t
C41 100n *C0603 -19.250000 -92.500000 0.000000 t
C42 2.2u *C0603 -68.750000 -68.000000 270.000000 t
C43 2.2u *C0603 -63.750000 -68.000000 270.000000 t
C44 2.2u *C0603 -58.750000 -68.000000 270.000000 t
